Funding Organization|Abbreviation|Country|Partner Sponsor Code|Childhood Category
Cancer Australia|CancerAust|AU|CancerAust|Some
Cancer Institute New South Wales|CINSW|AU|CINSW|Skip
National Breast Cancer Foundation|NBCF|AU|NBCF|N
Alberta Cancer Foundation|ACF|CA|CCRA|Skip
Alberta Innovates - Health Solutions|AIHS|CA|CCRA|Skip
Brain Tumour Foundation of Canada|BTFC|CA|CCRA|Skip
Breast Cancer Society of Canada|BCSC|CA|CCRA|N
C17 Research Network|C17|CA|CCRA|Y
Canadian Association of Radiation Oncology|CARO|CA|CCRA|Skip
Canadian Breast Cancer Foundation|CBCF|CA|CCRA|N
Canadian Breast Cancer Research Alliance|CBCRA|CA|CCRA|N
Canadian Cancer Society|CCS|CA|CCRA|Skip
Canadian Institutes of Health Research|CIHR|CA|CCRA|Skip
Canadian Partnership Against Cancer|CPAC|CA|CCRA|Skip
Canadian Prostate Cancer Research Initiative|CPCRI|CA|CCRA|N
Canadian Tobacco Control Research Initiative|CTCRI|CA|CCRA|N
Cancer Care Nova Scotia|CCNS|CA|CCRA|Skip
Cancer Care Ontario|CCO|CA|CCRA|Skip
Cancer Research Society|CRS|CA|CCRA|Skip
CancerCare Manitoba|CCMB|CA|CCRA|Skip
Fonds de la recherche du Québec – Santé|FRQS|CA|CCRA|Skip
Foundation du cancer du sein du Québec / Quebec Breast Cancer Foundation|QBCF|CA|CCRA|Skip
Genome Canada|GC|CA|CCRA|Skip
Michael Smith Foundation for Health Research|MSFHR|CA|CCRA|Skip
National Research Council of Canada|NRC|CA|CCRA|Skip
Natural Sciences and Engineering Research Council|NSERC|CA|CCRA|Skip
New Brunswick Health Research Foundation|NBHRF|CA|CCRA|Skip
Newfoundland and Labrador Centre for Applied Health Research|NLCAHR|CA|CCRA|Skip
Nova Scotia Health Research Foundation|NSHRF|CA|CCRA|Skip
Ontario Institute for Cancer Research|OICR|CA|CCRA|Skip
Ovarian Cancer Canada|OCC|CA|CCRA|N
Pancreatic Cancer Canada|PANCCACA|CA|CCRA|N
Pediatric Oncology Group of Ontario|POGO|CA|CCRA|Y
PROCURE|PROCURE|CA|CCRA|Skip
Prostate Cancer Canada|PCC|CA|CCRA|N
Research Manitoba|RESMB|CA|CCRA|Skip
Saskatchewan Cancer Agency|SCA|CA|CCRA|Skip
Saskatchewan Health Research Foundation|SHRF|CA|CCRA|Skip
The Kidney Foundation of Canada|KFOC|CA|CCRA|Skip
