AFG,Low income
ALB,Upper middle income
DZA,Upper middle income
ASM,Upper middle income
ADO,High income
AGO,Upper middle income
ATG,High income
ARG,Upper middle income
ARM,Lower middle income
ABW,High income
AUS,High income
AUT,High income
AZE,Upper middle income
BHS,High income
BHR,High income
BGD,Lower middle income
BRB,High income
BLR,Upper middle income
BEL,High income
BLZ,Upper middle income
BEN,Low income
BMU,High income
BTN,Lower middle income
BOL,Lower middle income
BIH,Upper middle income
BWA,Upper middle income
BRA,Upper middle income
VGB,High income
BRN,High income
BGR,Upper middle income
BFA,Low income
BDI,Low income
CPV,Lower middle income
KHM,Lower middle income
CMR,Lower middle income
CAN,High income
CYM,High income
CAF,Low income
TCD,Low income
CHI,High income
CHL,High income
CHN,Upper middle income
COL,Upper middle income
COM,Low income
ZAR,Low income
COG,Lower middle income
CRI,Upper middle income
CIV,Lower middle income
HRV,High income
CUB,Upper middle income
CUW,High income
CYP,High income
CZE,High income
DNK,High income
DJI,Lower middle income
DMA,Upper middle income
DOM,Upper middle income
ECU,Upper middle income
EGY,Lower middle income
SLV,Lower middle income
GNQ,Upper middle income
ERI,Low income
EST,High income
ETH,Low income
FRO,High income
FJI,Upper middle income
FIN,High income
FRA,High income
PYF,High income
GAB,Upper middle income
GMB,Low income
GEO,Upper middle income
DEU,High income
GHA,Lower middle income
GIB,High income
GRC,High income
GRL,High income
GRD,Upper middle income
GUM,High income
GTM,Lower middle income
GIN,Low income
GNB,Low income
GUY,Upper middle income
HTI,Low income
HND,Lower middle income
HKG,High income
HUN,High income
ISL,High income
IND,Lower middle income
IDN,Lower middle income
IRN,Upper middle income
IRQ,Upper middle income
IRL,High income
IMY,High income
ISR,High income
ITA,High income
JAM,Upper middle income
JPN,High income
JOR,Upper middle income
KAZ,Upper middle income
KEN,Lower middle income
KIR,Lower middle income
PRK,Low income
KOR,High income
KSV,Lower middle income
KWT,High income
KGZ,Lower middle income
LAO,Lower middle income
LVA,High income
LBN,Upper middle income
LSO,Lower middle income
LBR,Low income
LBY,Upper middle income
LIE,High income
LTU,High income
LUX,High income
MAC,High income
MKD,Upper middle income
MDG,Low income
MWI,Low income
MYS,Upper middle income
MDV,Upper middle income
MLI,Low income
MLT,High income
MHL,Upper middle income
MRT,Lower middle income
MUS,Upper middle income
MEX,Upper middle income
FSM,Lower middle income
MDA,Lower middle income
MCO,High income
MNG,Lower middle income
MNE,Upper middle income
MAR,Lower middle income
MOZ,Low income
MMR,Lower middle income
NAM,Upper middle income
NRU,High income
NPL,Low income
NLD,High income
NCL,High income
NZL,High income
NIC,Lower middle income
NER,Low income
NGA,Lower middle income
MNP,High income
NOR,High income
OMN,High income
PAK,Lower middle income
PLW,Upper middle income
PAN,Upper middle income
PNG,Lower middle income
PRY,Upper middle income
PER,Upper middle income
PHL,Lower middle income
POL,High income
PRT,High income
PRI,High income
QAT,High income
ROM,Upper middle income
RUS,Upper middle income
RWA,Low income
WSM,Lower middle income
SMR,High income
STP,Lower middle income
SAU,High income
SEN,Low income
SRB,Upper middle income
SYC,High income
SLE,Low income
SGP,High income
SXM,High income
SVK,High income
SVN,High income
SLB,Lower middle income
SOM,Low income
ZAF,Upper middle income
SSD,Low income
ESP,High income
LKA,Lower middle income
KNA,High income
LCA,Upper middle income
MAF,High income
VCT,Upper middle income
SDN,Lower middle income
SUR,Upper middle income
SWZ,Lower middle income
SWE,High income
CHE,High income
SYR,Lower middle income
TWN,High income
TJK,Lower middle income
TZA,Low income
THA,Upper middle income
TMP,Lower middle income
TGO,Low income
TON,Lower middle income
TTO,High income
TUN,Lower middle income
TUR,Upper middle income
TKM,Upper middle income
TCA,High income
TUV,Upper middle income
UGA,Low income
UKR,Lower middle income
ARE,High income
GBR,High income
USA,High income
URY,High income
UZB,Lower middle income
VUT,Lower middle income
VEN,Upper middle income
VNM,Lower middle income
VIR,High income
WBG,Lower middle income
YEM,Lower middle income
ZMB,Lower middle income
ZWE,Low income
